scope,population,survey_year,indicator,sex,value,unit,source_tables,source_published,checked,source_url,precision
England,Adults aged 16 and over in private households,2024,Overweight including obesity,Men,70,percent,3 and 4,2026-01-27,2026-09-13,https://digital.nhs.uk/data-and-information/publications/statistical/health-survey-for-england/2024/adults-overweight-and-obesity,Rounded value as reported in source chapter
England,Adults aged 16 and over in private households,2024,Overweight including obesity,Women,62,percent,3 and 4,2026-01-27,2026-09-13,https://digital.nhs.uk/data-and-information/publications/statistical/health-survey-for-england/2024/adults-overweight-and-obesity,Rounded value as reported in source chapter
England,Adults aged 16 and over in private households,2024,Obesity,Men,29,percent,3 and 4,2026-01-27,2026-09-13,https://digital.nhs.uk/data-and-information/publications/statistical/health-survey-for-england/2024/adults-overweight-and-obesity,Rounded value as reported in source chapter
England,Adults aged 16 and over in private households,2024,Obesity,Women,31,percent,3 and 4,2026-01-27,2026-09-13,https://digital.nhs.uk/data-and-information/publications/statistical/health-survey-for-england/2024/adults-overweight-and-obesity,Rounded value as reported in source chapter
England,Adults aged 16 and over in private households,2024,Increased including high central adiposity,Men,74,percent,9,2026-01-27,2026-09-13,https://digital.nhs.uk/data-and-information/publications/statistical/health-survey-for-england/2024/adults-overweight-and-obesity,Rounded value as reported in source chapter
England,Adults aged 16 and over in private households,2024,Increased including high central adiposity,Women,66,percent,9,2026-01-27,2026-09-13,https://digital.nhs.uk/data-and-information/publications/statistical/health-survey-for-england/2024/adults-overweight-and-obesity,Rounded value as reported in source chapter
England,Adults aged 16 and over in private households,2024,Mean measured weight,Men,86.2,kg,1 and 2,2026-01-27,2026-09-13,https://digital.nhs.uk/data-and-information/publications/statistical/health-survey-for-england/2024/adults-overweight-and-obesity,Rounded value as reported in source chapter
England,Adults aged 16 and over in private households,2024,Mean waist circumference,Men,98.4,cm,9,2026-01-27,2026-09-13,https://digital.nhs.uk/data-and-information/publications/statistical/health-survey-for-england/2024/adults-overweight-and-obesity,Rounded value as reported in source chapter
England,Adults aged 16 and over in private households,2024,Mean waist-to-height ratio,Men,0.56,ratio,9,2026-01-27,2026-09-13,https://digital.nhs.uk/data-and-information/publications/statistical/health-survey-for-england/2024/adults-overweight-and-obesity,Rounded value as reported in source chapter
