variant_id,canonical_movement,image_path,image_sha256,visual_review,technique_review
SST-FIT-0018-V02,seated-heel-dig,/fit-v3-images/seated-heel-dig.png,42575f83fe16a77747ecbc8320420e99875edbca0180abd6a2d4fe3ef4737e6a,delegated AI visual correction review,not individually certified
SST-FIT-0018-V03,seated-heel-dig,/fit-v3-images/seated-heel-dig.png,42575f83fe16a77747ecbc8320420e99875edbca0180abd6a2d4fe3ef4737e6a,delegated AI visual correction review,not individually certified
SST-FIT-0018-V04,seated-heel-dig,/fit-v3-images/seated-heel-dig.png,42575f83fe16a77747ecbc8320420e99875edbca0180abd6a2d4fe3ef4737e6a,delegated AI visual correction review,not individually certified
SST-FIT-0008-V01,seated-heel-slide,/fit-v3-images/seated-heel-slide.png,5885b25d465568c4194797e32f246b8fedd39a78243d51314f1e8e3e1d659a0b,delegated AI visual correction review,not individually certified
SST-FIT-0008-V02,seated-heel-slide,/fit-v3-images/seated-heel-slide.png,5885b25d465568c4194797e32f246b8fedd39a78243d51314f1e8e3e1d659a0b,delegated AI visual correction review,not individually certified
SST-FIT-0008-V03,seated-heel-slide,/fit-v3-images/seated-heel-slide.png,5885b25d465568c4194797e32f246b8fedd39a78243d51314f1e8e3e1d659a0b,delegated AI visual correction review,not individually certified
SST-FIT-0008-V04,seated-heel-slide,/fit-v3-images/seated-heel-slide.png,5885b25d465568c4194797e32f246b8fedd39a78243d51314f1e8e3e1d659a0b,delegated AI visual correction review,not individually certified
SST-FIT-0228-V01,seated-leg-curl-machine,/fit-v3-images/seated-leg-curl-machine.png,4ff4dc43197e71d194c87aa159aa4a6aa299756f3e5b874605a527d1acf96045,delegated AI visual correction review,not individually certified
SST-FIT-0228-V02,seated-leg-curl-machine,/fit-v3-images/seated-leg-curl-machine.png,4ff4dc43197e71d194c87aa159aa4a6aa299756f3e5b874605a527d1acf96045,delegated AI visual correction review,not individually certified
SST-FIT-0228-V03,seated-leg-curl-machine,/fit-v3-images/seated-leg-curl-machine.png,4ff4dc43197e71d194c87aa159aa4a6aa299756f3e5b874605a527d1acf96045,delegated AI visual correction review,not individually certified
SST-FIT-0228-V04,seated-leg-curl-machine,/fit-v3-images/seated-leg-curl-machine.png,4ff4dc43197e71d194c87aa159aa4a6aa299756f3e5b874605a527d1acf96045,delegated AI visual correction review,not individually certified
SST-FIT-0228-V05,seated-leg-curl-machine,/fit-v3-images/seated-leg-curl-machine.png,4ff4dc43197e71d194c87aa159aa4a6aa299756f3e5b874605a527d1acf96045,delegated AI visual correction review,not individually certified
SST-FIT-0228-V06,seated-leg-curl-machine,/fit-v3-images/seated-leg-curl-machine.png,4ff4dc43197e71d194c87aa159aa4a6aa299756f3e5b874605a527d1acf96045,delegated AI visual correction review,not individually certified
SST-FIT-0223-V01,seated-machine-leg-press,/fit-v3-images/seated-machine-leg-press.png,1cfa5669bd7be2462cb255c3a993e0055eb205ffb684efa140463d672d2ee231,delegated AI visual correction review,not individually certified
SST-FIT-0223-V02,seated-machine-leg-press,/fit-v3-images/seated-machine-leg-press.png,1cfa5669bd7be2462cb255c3a993e0055eb205ffb684efa140463d672d2ee231,delegated AI visual correction review,not individually certified
SST-FIT-0223-V03,seated-machine-leg-press,/fit-v3-images/seated-machine-leg-press.png,1cfa5669bd7be2462cb255c3a993e0055eb205ffb684efa140463d672d2ee231,delegated AI visual correction review,not individually certified
SST-FIT-0223-V04,seated-machine-leg-press,/fit-v3-images/seated-machine-leg-press.png,1cfa5669bd7be2462cb255c3a993e0055eb205ffb684efa140463d672d2ee231,delegated AI visual correction review,not individually certified
SST-FIT-0223-V05,seated-machine-leg-press,/fit-v3-images/seated-machine-leg-press.png,1cfa5669bd7be2462cb255c3a993e0055eb205ffb684efa140463d672d2ee231,delegated AI visual correction review,not individually certified
SST-FIT-0223-V06,seated-machine-leg-press,/fit-v3-images/seated-machine-leg-press.png,1cfa5669bd7be2462cb255c3a993e0055eb205ffb684efa140463d672d2ee231,delegated AI visual correction review,not individually certified
SST-FIT-0006-V01,seated-toe-raise,/fit-v3-images/seated-toe-raise.png,520916d51de3db02fa8dd6c1019dcc3c277fce01c85a3b33527d2b187fbe3fd7,delegated AI visual correction review,not individually certified
SST-FIT-0006-V02,seated-toe-raise,/fit-v3-images/seated-toe-raise.png,520916d51de3db02fa8dd6c1019dcc3c277fce01c85a3b33527d2b187fbe3fd7,delegated AI visual correction review,not individually certified
SST-FIT-0006-V03,seated-toe-raise,/fit-v3-images/seated-toe-raise.png,520916d51de3db02fa8dd6c1019dcc3c277fce01c85a3b33527d2b187fbe3fd7,delegated AI visual correction review,not individually certified
SST-FIT-0006-V04,seated-toe-raise,/fit-v3-images/seated-toe-raise.png,520916d51de3db02fa8dd6c1019dcc3c277fce01c85a3b33527d2b187fbe3fd7,delegated AI visual correction review,not individually certified
